index	1924	1928	1932	1936	1948	1952	1956	1960	1964	1968	1972	1976	1980	1984	1988	1992	1994	1998	2002	2006	2010	2014
AUT	0.75	0.0		0.2	0.12	0.25	0.42		0.33	0.27					0.3	0.29		0.18	0.18	0.39	0.25	
CAN			0.14														0.21	0.36	0.44	0.29	0.56	0.37
EUA								0.44	0.3													
EUN																0.41						
FIN	0.33	0.5	0.33	0.17		0.33	0.43	0.25	0.3			0.29	0.11	0.31								
FRA	0.0									0.44												
FRG						0.5						0.2			0.25							
GBR	0.25																					
GDR											0.27	0.33	0.38	0.38	0.36							
GER				0.57												0.38	0.38	0.4	0.33	0.38	0.32	
ITA																0.29	0.35					
NED										0.33	0.44											0.35
NOR	0.24	0.4	0.3	0.47	0.4	0.44			0.2	0.43	0.17		0.1	0.33		0.45	0.38	0.4	0.5		0.39	0.44
RUS																	0.48	0.5		0.42		0.39
SUI					0.33						0.4				0.33							
SWE		0.4	0.33	0.29	0.4		0.2	0.43														
URS							0.4	0.33	0.48	0.4	0.5	0.5	0.46	0.24	0.39							
USA		0.33	0.46		0.38	0.33	0.29	0.27				0.27	0.5	0.44					0.28	0.32	0.25	0.33
